Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
3.632e-5	1.960783e-6
3.648e-5	2.716903e-6
3.664e-5	3.13857e-6
3.68e-5	2.610203e-6
3.696e-5	1.870055e-6
3.712e-5	2.884093e-7
3.728e-5	-3.552426e-6
3.744e-5	-3.368757e-6
3.76e-5	9.099261e-7
3.776e-5	1.649528e-6
3.792e-5	1.090614e-6
3.808e-5	1.09959e-6
3.824e-5	5.082585e-6
3.84e-5	7.847051e-6
3.856e-5	8.284533e-6
3.872e-5	7.832264e-6
3.888e-5	6.446688e-6
3.904e-5	5.749858e-6
3.92e-5	5.180859e-6
3.936e-5	4.216869e-6
3.952e-5	3.480954e-6
3.968e-5	3.283742e-6
3.984e-5	2.940697e-6
4e-5	2.340578e-6
4.016e-5	1.672237e-6
4.032e-5	1.269022e-6
4.048e-5	1.561285e-6
4.064e-5	-2.173402e-6
4.08e-5	-1.553796e-6
4.096e-5	-1.347572e-6
4.112e-5	-1.454675e-6
4.128e-5	-5.13152e-7
4.144e-5	-2.405173e-6
4.16e-5	-2.570944e-6
4.176e-5	4.082921e-9
4.192e-5	-1.794362e-6
4.208e-5	-4.832081e-6
4.224e-5	-3.989755e-6
4.24e-5	-1.276811e-6
4.256e-5	2.608555e-6
4.272e-5	2.73103e-6
4.288e-5	1.309156e-6
4.304e-5	7.578998e-7
4.32e-5	-1.008676e-6
4.336e-5	-2.7732e-6
4.352e-5	-7.788432e-7
4.368e-5	5.304072e-7
4.384e-5	1.457667e-6
4.4e-5	4.096636e-6
4.416e-5	3.02676e-6
4.432e-5	2.085992e-6
4.448e-5	2.107808e-6
4.464e-5	-2.37111e-7
4.48e-5	-5.89807e-6
4.496e-5	-8.137992e-6
4.512e-5	-7.217458e-6
4.528e-5	-8.362639e-6
4.544e-5	-1.135915e-5
4.56e-5	-1.4572e-5
4.576e-5	-1.312242e-5
4.592e-5	-1.473424e-5
4.608e-5	-1.708245e-5
4.624e-5	-1.663263e-5
4.64e-5	-1.435897e-5
4.656e-5	-1.387545e-5
4.672e-5	-1.19252e-5
4.688e-5	-9.559892e-6
4.704e-5	-9.515137e-6
4.72e-5	-7.41598e-6
4.736e-5	-3.269985e-6
4.752e-5	-6.680254e-6
4.768e-5	-8.415265e-6
4.784e-5	-6.381543e-6
4.8e-5	-1.680762e-6
4.816e-5	-4.015576e-7
4.832e-5	8.565638e-8
4.848e-5	-4.808576e-6
4.864e-5	-5.503732e-6
4.88e-5	-9.421108e-6
4.896e-5	-9.772673e-6
4.912e-5	-7.128089e-6
4.928e-5	-7.369546e-6
4.944e-5	-6.242667e-6
4.96e-5	-6.971361e-6
4.976e-5	-8.695994e-6
4.992e-5	-5.784923e-6
5.008e-5	-6.232783e-6
5.024e-5	-4.02558e-6
5.04e-5	-4.886865e-6
5.056e-5	-5.078124e-6
5.072e-5	-5.769481e-6
5.088e-5	-7.147538e-6
5.104e-5	-6.815986e-6
5.12e-5	-5.368456e-6
5.136e-5	-3.589801e-6
5.152e-5	-3.035881e-6
5.168e-5	1.639794e-7
5.184e-5	1.504364e-6
5.2e-5	1.949947e-6
5.216e-5	4.179914e-6
5.232e-5	3.955633e-6
5.248e-5	6.94505e-6
5.264e-5	7.094167e-6
5.28e-5	1.142355e-5
5.296e-5	1.292765e-5
5.312e-5	1.015951e-5
5.328e-5	1.345599e-5
5.344e-5	1.112054e-5
5.36e-5	9.685222e-6
5.376e-5	8.237657e-6
5.392e-5	6.492076e-6
5.408e-5	6.248924e-6
5.424e-5	8.608087e-6
5.44e-5	7.403787e-6
5.456e-5	5.710335e-6
5.472e-5	4.186702e-6
5.488e-5	4.011424e-6
5.504e-5	2.308189e-6
5.52e-5	2.54077e-6
5.536e-5	2.586388e-6
5.552e-5	2.669894e-6
5.568e-5	4.691441e-6
5.584e-5	4.904587e-6
5.6e-5	3.663246e-6
5.616e-5	4.682641e-6
5.632e-5	4.361912e-6
5.648e-5	3.366544e-6
5.664e-5	3.255058e-6
5.68e-5	-3.430444e-7
5.696e-5	-1.466919e-6
